% Iron Feed,% Silica Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate,% Silica Concentrate
"55,2","16,98","3019,53","557,434","395,713","100,664","1,74","249,214","253,235","250,576","295,096","306,4","250,225","250,884","457,396","432,962","424,954","443,558","502,255","446,37","523,344","66,91","1,31"
"55,2","16,98","3024,41","563,965","397,383","100,672","1,74","249,719","250,532","250,862","295,096","306,4","250,137","248,994","451,891","429,56","432,939","448,086","496,363","445,922","498,075","66,91","1,31"
"55,2","16,98","3043,46","568,054","399,668","10,068","1,74","249,741","247,874","250,313","295,096","306,4","251,345","248,071","451,24","468,927","434,61","449,688","484,411","447,826","458,567","66,91","1,31"
"55,2","16,98","3047,36","568,665","397,939","100,689","1,74","249,917","254,487","250,049","295,096","306,4","250,422","251,147","452,441","458,165","442,865","446,21","471,411","437,69","427,669","66,91","1,31"
"55,2","16,98","3033,69","558,167","400,254","100,697","1,74","250,203","252,136","249,895","295,096","306,4","249,983","248,928","452,441","452,9","450,523","453,67","462,598","443,682","425,679","66,91","1,31"
"55,2","16,98","3079,1","564,697","396,533","100,705","1,74","250,73","248,906","249,521","295,096","306,4","250,356","251,873","444,384","443,269","460,449","439,92","451,588","433,539","425,458","66,91","1,31"
"55,2","16,98","3127,79","566,467","392,9","100,713","1,74","250,313","252,202","249,082","295,096","306,4","250,95","253,477","446,185","444,571","452,306","431,328","443,548","444,575","431,251","66,91","1,31"
"55,2","16,98","3152,93","558,777","397,002","100,722","1,74","249,895","253,63","249,258","295,096","306,4","249,456","253,345","445,985","461,341","461,64","442,067","441,73","461,77","449,679","66,91","1,31"
"55,2","16,98","3147,27","556,03","394,307","10,073","1,74","250,137","251,104","248,774","295,096","306,4","248,577","250,884","446,686","478,385","459,103","455,074","439,798","457,738","455,915","66,91","1,31"
"55,2","16,98","3142,58","565,857","393,105","100,738","1,74","249,653","252,202","248,203","295,096","306,4","248,511","248,137","445,685","478,779","460,665","457,225","453,236","449,898","455,75","66,91","1,31"
"55,2","16,98","3148,05","561,951","396,533","100,746","1,74","249,236","250,818","250,225","295,096","306,4","250,203","246,797","456,495","438,06","466,332","458,005","455,493","448,05","452,663","66,91","1,31"
"55,2","16,98","3150,39","558,472","397,852","100,755","1,74","249,17","249,829","251,147","295,096","306,4","250,928","246,533","461,45","421,41","467,79","458,59","453,84","448,05","451,34","66,91","1,31"
"55,2","16,98","3280,27","564,026","393,545","100,763","1,74","249,016","249,829","251,147","295,096","306,4","249,543","251,147","457,947","425,372","453,818","453,942","459,629","443,738","460,608","66,91","1,31"
"55,2","16,98","3411,13","567,261","394,16","100,771","1,74","249,258","250,137","251,609","295,096","306,4","248,643","249,587","448,037","428,26","447,074","458,516","472,134","461,49","467,667","66,91","1,31"
"55,2","16,98","3447,46","561,646","392,549","100,779","1,74","249,39","251,191","250,269","295,096","306,4","249,434","250,225","433,923","418,459","431,266","465,705","481,442","479,298","471,307","66,91","1,31"
"55,2","16,98","3562,7","560,364","394,688","100,788","1,74","250,005","252,202","249,456","295,096","306,4","250,598","248,84","434,674","416,42","435,956","459,922","484,36","457,85","473,847","66,91","1,31"
"55,2","16,98","3707,03","563,049","396,504","100,796","1,74","250,115","249,39","249,697","295,096","306,4","251,082","250,774","446,736","398,407","444,212","444,88","471,964","439,874","470,261","66,91","1,31"
"55,2","16,98","3784,96","557,983","394,834","100,804","1,74","250,049","246,533","249,829","295,096","306,4","250,378","248,643","451,991","426,335","443,024","429,998","452,629","440,77","463,421","66,91","1,31"
"55,2","16,98","3798,05","563,11","396,709","100,812","1,74","250,203","248,181","250,291","295,096","306,4","250,203","249,807","447,537","428,318","445,292","425,78","433,191","453,034","451,617","66,91","1,31"
"55,2","16,98","3866,6","564,27","398,262","100,821","1,74","250,269","247,939","249,719","295,096","306,4","250,422","251,543","452,441","443,155","444,104","418,668","409,287","453,65","437,82","66,91","1,31"
"55,2","16,98","3907,42","568,054","394,951","100,829","1,74","250,115","249,258","249,697","295,096","306,4","250,642","248,884","439,679","451,199","446,372","420,548","403,83","438,25","413,212","66,91","1,31"
"55,2","16,98","3705,66","560,669","396,123","100,837","1,74","250,356","251,433","249,521","295,096","306,4","250,4","249,324","441,681","446,1","444,428","421,288","397,113","431,586","405,595","66,91","1,31"
"55,2","16,98","3554,3","572,449","395,01","100,845","1,74","250,488","247,104","249,236","295,096","306,4","250,115","249,28","447,186","468,245","451,657","449,687","399,592","437,13","399,916","66,91","1,31"
"55,2","16,98","3523,24","563,416","394,453","100,854","1,74","250,181","247,456","249,324","295,096","306,4","249,434","248,181","453,542","500,023","454,624","458,008","414,796","460,818","403,059","66,91","1,31"
"55,2","16,98","3514,65","565,613","400,986","100,862","1,74","249,28","252,971","251,697","295,096","306,4","249,324","251,543","450,69","492,148","458,458","458,714","419,473","463,618","415,585","66,91","1,31"
"55,2","16,98","3492,58","569,031","408,018","100,875","1,74","248,95","252,883","250,686","295,096","306,4","250,159","248,972","451,24","504,664","456,838","456,76","428,394","458,186","434,562","66,91","1,31"
"55,2","16,98","3508,98","568,848","398,994","10,089","1,74","249,412","252,949","249,214","295,096","306,4","249,873","251,191","449,989","484,614","458,782","485,549","442,769","451,13","440,08","66,91","1,31"
"55,2","16,98","3537,3","557,312","400,488","100,906","1,74","249,609","253,191","249,258","295,096","306,4","249,456","249,983","438,077","440,264","464,013","474,647","461,111","456,45","455,199","66,91","1,31"
"55,2","16,98","3555,86","562,195","404,766","100,921","1,74","249,763","247,896","249,851","295,096","306,4","250,005","249,807","443,933","433,241","461,479","476,21","468,607","466,082","474,567","66,91","1,31"
"55,2","16,98","3570,12","571,533","401,572","100,936","1,74","250,291","251,653","251,279","295,096","306,4","252,114","250,115","448,438","425,826","461,59","485,898","482,759","466,418","479,645","66,91","1,31"
"55,2","16,98","3579,69","571,167","394,57","100,951","1,74","254,487","257,607","255,498","295,096","306,4","254,597","253,586","436,876","436,474","460,132","456,719","485,845","452,474","480,25","66,91","1,31"
"55,2","16,98","3565,63","562,805","393,516","100,967","1,74","258,662","259,211","256,465","295,096","306,4","256,245","253,564","438,578","431,037","439,896","449,646","478,908","439,874","477,493","66,91","1,31"
"55,2","16,98","3550,39","566,101","396,504","100,982","1,74","259,255","254,817","254,202","295,096","306,4","257,256","252,905","444,233","436,643","415,022","444,136","455,99","441,946","468,442","66,91","1,31"
"55,2","16,98","3546,88","568,848","397,559","100,997","1,74","259,058","252,905","253,345","295,096","306,4","257,52","252,905","445,435","441,23","407,9","440,62","447,23","444,13","465,13","66,91","1,31"
"55,2","16,98","3613,87","567,139","398,994","101,013","1,74","257,981","251,829","251,96","295,096","306,4","257,52","252,444","464,003","463,434","413,941","437,89","432,579","446,874","452,383","66,91","1,31"
"55,2","16,98","3680,86","561,707","399,199","101,028","1,74","257,212","252,29","251,06","295,096","306,4","257,212","252,554","467,756","498,325","428,619","429,608","412,041","451,186","434,565","66,91","1,31"
"55,2","16,98","3719,14","563,11","402,715","101,043","1,74","256,465","252,378","250,313","295,096","306,4","256,772","252,224","467,706","502,06","442,487","425,741","398,986","448,61","423,089","66,91","1,31"
"55,2","16,98","3725,78","570,129","403,887","101,059","1,74","256,816","252,4","250,203","295,096","306,4","256,333","251,873","468,457","495,437","458,67","428,4","385,216","445,754","432,025","66,91","1,31"
"55,2","16,98","3734,18","569,946","400,02","101,074","1,74","256,311","247,544","250,576","295,096","306,4","256,509","251,191","465,304","284,561","456,457","437,068","394,471","442,506","422,318","66,91","1,31"
"55,2","16,98","3747,85","567,139","403,359","101,089","1,74","254,751","245,588","250,554","295,096","306,4","256,487","250,466","458,698","3,288,555","461,151","459,648","413,524","439,37","417,185","66,91","1,31"
"55,2","16,98","3766,99","579,224","406,084","101,104","1,74","254,531","248,884","250,488","295,096","306,4","255,959","250,269","452,942","373,15","482,68","472,891","425,699","455,778","423,476","66,91","1,31"
"55,2","16,98","3804,88","598,389","403,477","10,112","1,74","254,355","250,884","250,334","295,096","306,4","255,762","250,422","457,396","486,826","490,828","444,921","415,399","471,01","438,315","66,91","1,31"
"55,2","16,98","3816,99","600,83","402,861","101,135","1,74","254,07","251,763","249,346","295,096","306,4","255,916","250,796","452,241","508,292","474,75","432,849","412,097","470,45","480,689","66,91","1,31"
"55,2","16,98","3812,3","599,365","403,516","10,115","1,74","254,736","247,339","248,95","295,096","306,4","254,956","250,195","461,617","513,163","462,757","455,08","419,33","462,05","480,393","66,91","1,31"
"55,2","16,98","3818,75","595,001","403,14","101,166","1,74","254,817","248,28","249,95","295,096","306,4","254,586","250,115","462,751","515,94","458,485","466,273","434,26","438,299","458,319","66,91","1,31"
"55,2","16,98","3820,9","589,874","394,834","101,181","1,74","254,092","246,193","250,917","295,096","306,4","254,663","250,411","465,154","507,926","450,526","463,868","449,935","434,607","455,093","66,91","1,31"
"55,2","16,98","3802,54","594,33","397,002","101,196","1,74","253,641","246,687","251,005","295,096","306,4","253,806","250,774","462,751","499,284","448,856","477,99","472,845","450,542","447,725","66,91","1,31"
"55,2","16,98","3788,09","598,724","395,156","101,211","1,74","253,422","251,071","251,213","295,096","306,4","254,059","250,214","440,104","317,64","442,275","493,181","494,655","469,386","451,837","66,91","1,31"
"55,2","16,98","3774,22","598,969","391,904","101,227","174,022","252,916","251,115","250,939","295,096","306,4","255,157","249,829","446,986","340,792","430,405","496,617","522,335","490,246","477,66","66,91","1,31"
"55,2","16,98","1130,86","595,581","398,364","101,242","174,057","252,971","249,983","251,136","295,096","306,4","253,685","250,4","463,928","363,944","435,012","475,154","524,045","492,794","518,624","66,91","1,31"
"55,2","16,98","1084,31","597,046","403,667","101,257","174,091","252,554","250,258","249,225","295,096","306,4","253,114","249,851","460,474","500,759","432,014","428,375","505,236","503,518","551,869","66,91","1,31"
"55,2","16,98","1037,76","597,168","398,687","101,273","174,126","252,532","249,346","247,786","295,096","306,4","254,344","249,818","451,24","514,13","432,423","398,964","489,674","506,402","535,315","66,91","1,31"
"55,2","16,98","2588,77","597,9","394,556","101,288","17,416","252,971","248,302","247,917","295,096","306,4","252,883","250,62","443,232","509,595","431,37","412,658","470,205","476,022","487,337","66,91","1,31"
"55,2","16,98","3026,46","598,755","397,471","101,303","174,195","252,839","248,785","250,356","295,096","306,4","252,092","250,642","455,72","507,811","444,56","442,855","473,921","431,803","439,941","66,91","1,31"
"55,2","16,98","2962,89","598,755","399,316","101,307","174,229","252,686","249,17","251,587","295,096","306,4","252,246","250,488","463,953","509,2","452,68","453,52","480,28","416,12","424,3","66,91","1,31"
"55,2","16,98","2926,07","607,086","395,508","101,305","174,264","253,257","250,884","251,73","295,096","306,4","251,96","250,203","459,073","506,99","458,998","454,788","483,147","421,58","401,706","66,91","1,31"
"55,2","16,98","2940,53","600,861","396,694","101,302","174,298","252,993","250,95","251,949","295,096","306,4","251,521","249,906","461,325","261,341","455,731","461,307","483,975","445,638","395,28","66,91","1,31"
"55,2","16,98","2951,37","593,506","398,818","10,13","174,333","252,114","255,344","250,455","295,096","306,4","250,653","249,972","463,953","3,147,245","457,756","461,148","492,54","482,854","418,455","66,91","1,31"
"55,2","16,98","2975,2","598,602","398,452","101,298","174,367","252,092","251,104","249,467","295,096","306,4","249,697","250,334","454,193","368,108","468,145","450,738","480,531","499,318","452,579","66,91","1,31"
"55,2","16,98","3053,71","599,823","399,097","101,295","174,402","252,532","249,412","248,818","295,096","306,4","248,104","249,774","441,456","509,625","460,182","423,496","463,592","495,594","478,403","66,91","1,31"
"55,2","16,98","3094,24","596,375","397,896","101,293","174,436","252,114","249,489","248,225","295,096","306,4","254,553","249,39","440,029","524,378","460,773","423,264","447,176","472,102","479,453","66,91","1,31"
"55,2","16,98","3087,5","593,506","397,925","101,291","174,471","251,521","248,807","248,357","295,096","306,4","254,685","249,818","453,467","528,51","459,642","437,055","441,341","443,458","450,703","66,91","1,31"
"55,2","16,98","3071,88","599,792","401,865","101,288","174,505","251,796","250,873","248,511","295,096","306,4","248,687","250,906","460,274","520,326","465,768","455,236","449,244","431,132","422,287","66,91","1,31"
"55,2","16,98","3056,25","598,877","395,332","101,286","17,454","251,598","251,455","251,224","295,096","306,4","253,531","251,082","450,69","505,887","465,576","465,178","462,956","438,667","412,576","66,91","1,31"
"55,2","16,98","3055,86","596,71","398,438","101,283","174,574","251,082","251,576","252,543","295,096","306,4","251,301","250,785","454,869","264,879","464,685","476,563","469,954","460,678","418,786","66,91","1,31"
"55,2","16,98","3068,75","594,94","396,255","101,281","174,609","251,499","253,235","251,609","295,096","306,4","246,215","250,137","457,997","309,045","451,954","491,936","498,487","485,542","441,656","66,91","1,31"
"55,2","16,98","3078,03","592,285","398,394","101,279","174,643","251,521","250,433","250,291","295,096","306,4","255,07","249,829","455,319","353,211","438,98","475,176","494,714","490,694","475,199","66,91","1,31"
"55,2","16,98","3086,43","587,86","402,891","101,276","174,678","251,367","252,51","248,972","295,096","306,4","251,235","250,258","455,419","504,813","439,112","426,717","470,371","494,026","503,174","66,91","1,31"
"55,2","16,98","3091,11","588,715","398,379","101,274","174,712","251,51","248,236","248,511","295,096","306,4","254,169","250,345","448,788","514,749","445,724","418,711","449,056","497,862","517,935","66,91","1,31"
"55,2","16,98","3096,88","591,4","401,982","101,272","174,747","251,158","247,489","248,225","295,096","306,4","252,971","250,126","442,006","517,951","442,403","436,173","457,837","462,414","473,713","66,91","1,31"
"55,2","16,98","3097,07","599,182","401,279","101,269","174,781","250,928","250,521","248,785","295,096","306,4","246,478","250,192","445,96","520,894","437,793","448,28","456,13","419,708","420,054","66,91","1,31"
"55,2","16,98","3096,97","602,234","393,691","101,267","174,816","250,642","251,653","250,455","295,096","306,4","252,125","249,554","444,058","524,034","436,689","460,699","466,647","425,73","403,553","66,91","1,31"
"55,2","16,98","3086,23","598,236","397,295","101,265","17,485","250,631","250,521","251,29","295,096","306,4","251,202","249,456","448,588","367,683","434,043","465,62","482,841","459,39","411,392","66,91","1,31"
"55,2","16,98","3099,12","597,9","403,257","101,262","174,884","250,565","252,971","251,51","295,096","306,4","247,939","250,038","457,321","343,326","439,383","463,339","508,73","492,878","438,982","66,91","1,31"
"55,2","16,98","3109,38","603,912","406,494","10,126","174,919","251,06","254,377","251,444","295,096","306,4","254,344","250,697","462,551","318,969","446,129","462,363","500,438","493,858","472,14","66,91","1,31"
"55,2","16,98","3116,99","603,912","409,995","101,258","174,953","251,51","254,081","251,082","295,096","306,4","251,96","249,642","454,193","501,468","455,546","428,479","466,37","478,178","492,303","66,91","1,31"
"55,2","16,98","3121,09","600,433","409,995","101,255","174,988","251,158","250,433","249,928","295,096","306,4","245,731","249,236","444,058","524,352","455,839","402,796","435,939","479,606","504,306","66,91","1,31"
"55,2","16,98","3121,09","599,365","409,277","101,253","174,978","250,928","248,511","249,39","295,096","306,4","244,116","249,39","441,431","515,43","453,76","398,83","426,3","483,33","508,17","66,91","1,31"
"55,2","16,98","3104,59","604,126","408,706","10,125","174,943","250,928","247,083","248,676","295,096","306,4","253,828","250,961","448,588","507,702","459,025","422,444","420,931","455,666","478,758","66,91","1,31"
"55,2","16,98","3088,09","606,689","403,638","101,248","174,909","251,213","249,313","248,719","295,096","306,4","256,63","250,807","455,044","531,516","461,86","441,758","421,979","421,836","429,568","66,91","1,31"
"55,2","16,98","3090,33","603,912","402,217","101,246","174,874","250,796","248,785","248,665","295,096","306,4","248,181","249,697","453,843","523,018","464,31","440,233","431,621","412,732","402,646","66,91","1,31"
"55,2","16,98","3103,91","607,574","401,499","101,243","17,484","250,774","247,632","248,796","295,096","306,4","250,763","249,675","444,634","505,917","456,862","471,521","452,134","433,711","394,947","66,91","1,31"
"55,2","16,98","3134,77","610,748","409,351","101,241","174,806","251,213","247,775","248,95","295,096","306,4","250,225","251,543","453,117","216,37","451,438","498,219","473,889","466,166","412,048","66,91","1,31"
"55,2","16,98","3153,52","608,582","406,538","101,238","174,771","251,367","247,709","250,521","295,096","306,4","245,929","249,895","458,647","3,084,095","445,802","492,324","491,932","491,562","449,351","66,91","1,31"
"55,2","16,98","3152,44","607,697","397,397","101,234","174,737","251,082","248,632","251,653","295,096","306,4","246,632","248,796","459,248","400,449","442,619","467,928","487,523","494,642","485,909","66,91","1,31"
"55,2","16,98","3152,93","605,133","393,677","101,231","174,702","250,928","251,455","252,092","295,096","306,4","251,202","250,093","450,189","520,246","442,781","420,487","474,416","490,47","514,187","66,91","1,31"
"55,2","16,98","3172,07","601,654","396,211","101,227","174,668","251,071","250,543","251,96","295,096","306,4","255,839","251,993","443,958","526,448","444,023","410,289","454,614","509,146","531,676","66,91","1,31"
"55,2","16,98","3203,22","601,379","399,185","101,224","174,633","250,576","248,533","250,95","295,096","306,4","248,73","251,115","451,891","510,533","444,941","430,856","443,27","476,05","482,152","66,91","1,31"
"55,2","16,98","3209,77","600,22","397,046","10,122","174,599","250,411","251,213","249,631","295,096","306,4","250,4","250,411","454,168","505,434","443,726","445,664","455,692","432,139","421,79","66,91","1,31"
"55,2","16,98","3193,07","596,588","399,507","101,217","174,565","250,345","246,05","248,599","295,096","306,4","254,213","250,488","457,171","381,078","447,533","457,598","462,853","429,902","395,663","66,91","1,31"
"55,2","16,98","3176,66","597,473","397,09","101,213","17,453","249,983","247,357","248,291","295,096","306,4","247,731","251,06","450,014","365,787","452,44","454,238","470,889","467,006","406,065","66,91","1,31"
"55,2","16,98","3173,14","605,103","390,63","10,121","174,496","250,115","249,62","248,291","295,096","306,4","249,258","249,225","437,452","350,496","453,058","460,153","472,818","501,558","431,224","66,91","1,31"
"55,2","16,98","3175,1","606,934","400,474","101,206","174,461","250,554","249,39","248,434","295,096","306,4","252,883","248,643","441,556","503,482","449,878","435,155","462,52","495,118","455,724","66,91","1,31"
"55,2","16,98","3162,48","600,789","404,757","101,203","174,427","250,429","249,39","250,007","295,096","306,4","248,72","250,718","442,527","513,869","450,37","413,915","449,857","484,263","475,643","66,91","1,31"
"55,2","16,98","3148,44","597,168","404,473","101,199","174,392","250,001","247,939","251,587","295,096","306,4","245,215","249,565","454,543","514,864","456,136","419,376","429,496","467,314","472,86","66,91","1,31"
"55,2","16,98","3153,91","604,614","401,836","101,196","174,358","250,225","248,027","251,895","295,096","306,4","250,972","248,599","454,644","510,106","457,54","430,388","425,422","428,444","448,36","66,91","1,31"
"55,2","16,98","3177,73","601,318","398,027","101,192","174,324","250,488","251,367","251,411","295,096","306,4","256,289","251,323","446,335","506,026","452,578","456,48","440,518","423,854","418,566","66,91","1,31"
"55,2","16,98","3176,56","597,534","399,785","101,189","174,289","250,093","251,147","251,411","295,096","306,4","249,17","250,005","447,336","485,18","452,9","474,06","453,736","442,226","408,966","66,91","1,31"
"55,2","16,98","3155,08","594,727","396,914","101,185","174,255","249,961","253,389","250,269","295,096","306,4","249,565","249,521","446,836","255,22","454,84","480,7","467,282","469,218","421,1","66,91","1,31"
"55,2","16,98","3134,77","591,675","393,223","101,181","17,422","249,785","255,762","249,39","295,096","306,4","254,795","250,093","451,741","319,679","447,394","482,108","482,922","483,666","441,402","66,91","1,31"
"55,2","16,98","3125,78","590,698","404,297","101,178","174,186","250,137","252,861","249,126","295,096","306,4","253,389","250,225","451,44","384,138","450,2","466,796","477,528","481,874","476,714","66,91","1,31"
"55,2","16,98","3126,17","603,394","407,695","101,174","174,151","250,752","250,664","248,95","295,096","306,4","249,565","249,038","454,143","513,28","444,052","424,138","449,99","484,226","507,618","66,91","1,31"
"55,2","16,98","3129,3","602,661","391,523","101,171","174,117","250,664","250,356","248,95","295,096","306,4","246,357","251,104","454,644","528,798","440,058","399,376","422,232","497,106","519,426","66,91","1,31"
"55,2","16,98","3133,2","603,638",390,"101,167","174,083","250,752","245,918","248,687","295,096","306,4","248,643","250,488","449,739","529,25","445,022","417,346","414,85","462,722","469,102","66,91","1,31"
"55,2","16,98","3141,8","605,225","391,406","101,164","174,048","250,796","250,796","248,906","295,096","306,4","253,828","249,653","446,135","522,112","450,632","453,672","423,992","423,74","409,732","66,91","1,31"
"55,2","16,98","3155,86","591,309","395,918","10,116","174,014","250,313","254,399","251,411","295,096","306,4","250,752","251,191","448,538","513,844","451,282","473,592","438,972","421,496","376,516","66,91","1,31"
"55,2","16,98","3162,11","583,496","400,488","101,157","173,959","250,049","253,345","252,905","295,096","306,4","247,412","251,807","450,94","510,9","449,99","476,56","445,58","425,08","365,26","66,91","1,31"
"55,2","16,98","3164,45","584,961","393,809","101,153","17,389","250,181","249,521","252,905","295,096","306,4","245,698","250,093","449,739","504,78","452,576","481,012","455,498","445,918","385,786","66,91","1,31"
"55,2","16,98","3167,19","595,093","393,75","10,115","173,821","250,269","244,995","251,719","295,096","306,4","251,279","249,741","442,031","270,966","448,474","483,98","476,318","488,706","430,592","66,91","1,31"
"55,2","16,98","3177,34","596,069","397,207","101,146","173,752","250,532","247,764","250,269","295,096","306,4","255,762","252,114","449,438","312,939","448,148","488,672","490,746","511,33","472,196","66,91","1,31"
